cbo_em
515105
324205
324215
311505
516210
515315
322205
322230
322215
322220
322235
322210
322225
322240
322245
322250
915305
322130
325115
325105
325110
324220
322605
322120
311510
328105
328110
516505
325210
322305
322505
322110
322410
324115
415305
322405
322425
322430
322125
519305
352210
352205
300105
313215
300305
731135
731150
313205
313210
313220
313105
313110
313115
313120
313125
313130
318705
314205
314210
391125
314610
721105
721110
314715
771110
721325
722215
722220
722325
821220
822115
313410
313405
313415
314310
914105
914110
314305
314405
911305
314410
314315
914205
913105
913110
913115
913120
914420
914305
314110
314105
915105
300110
314620
314705
314710
314720
314725
314730
352305
352310
352315
201205
201210
201215
201220
201225
725705
724115
724130
861105
724305
724315
724310
724320
724325
841408
261305
371110
371105
515325
515305
515310
514325
818110
351505
261425
623005
351305
141405
141410
354140
354205
354705
521105
521115
351310
354305
342105
342210
510110
351105
351110
351115
353205
353210
353215
353220
342110
391115
354130
391205
351315
411010
351735
351710
351740
351430
351405
354605
354410
354135
317120
317110
212405
317210
212410
313315
313305
313310
313320
731305
342520
342525
342535
342545
312305
312320
312310
312315
318110
321205
318005
318015
318010
318105
318115
318120
318505
318510
312105
514310
312205
342605
342610
414215
312210
342305
342310
342120
342315
783110
325205
841710
848310
848305
513505
325005
752105
791105
791110
791115
791120
791125
791130
791135
791140
791145
791150
791155
791160
376215
376205
376210
376220
376225
376230
376235
376240
376245
376250
376255
376325
376305
376310
376315
376320
262405
262705
374205
374210
374215
262605
262610
768710
376105
376110
318815
318430
375105
375110
375115
375120
354415
751005
262420
751115
751010
751125
262425
318425
318805
771115
771105
771120
371305
318405
371310
318410
318415
318420
262410
742120
742105
742110
742115
742125
742130
742135
742140
318810
262710
317105
261310
371210
371205
214120
261805
262105
372115
373205
373220
374405
374415
517330
766120
373105
373120
374105
374110
374135
374305
253140
253110
253115
253120
253125
253130
253135
373215
373110
374125
262115
373210
373115
373125
374115
374120
374130
374140
374145
262110
262120
262125
262615
311105
311110
311115
325305
325310
319105
319110
311705
311710
311715
752305
311305
318215
318205
318210
760205
762205
762210
762215
762220
319205
301115
316310
316325
311205
311410
311405
760605
301110
301105
311610
352320
721305
760105
760120
760125
761105
761110
761810
761815
311615
311620
311625
311605
311720
311725
321105
321110
613405
321305
321310
321315
321320
321210
316105
316110
316115
316120
316320
316305
316330
316315
341220
341225
323105
252105
351605
142110
517105
517110
510305
351610
354810
354815
354820
354825
513205
511405
422120
513115
513110
371410
510130
510135
513415
513405
342505
517310
724430
725605
950205
914405
914425
953105
