"cboocupacao2002";"nome_cbo_ocupacao";"mediana_vinculos";"mediana_rendimentos";"vinculos_ultimo_ano";"media_rendimento_ultimo_ano";"media_salario_hora_ultimo_ano";"vinculos_primeiro_ano";"media_rendimento_primeiro_ano";"media_salario_hora_primeiro_ano";"variacao_rendimentos";"variacao_vinculos";"cbo";"codigo_cbo"
"122510";"Diretor de  produção e operações de hotel";"1,5";"4056,548188843146";NA;NA;NA;"2";"6667,776092756536";"37,88509143611668";NA;NA;"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"122515";"Diretor de  produção e operações de turismo";"1,0";"2598,164689633281";NA;NA;NA;"1";"2648,774154533073";"15,04985315075609";NA;NA;"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"122520";"Turismólogo";"11,5";"5740,711344230864";"11";"6168,443489122063";"37,95832303491864";"3";"3753,612777674215";"21,32734532769440";"7,45085616124992e-02";"-0,04347826086956519";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"122605";"Diretor de operações de correios";"4,0";"5563,839281559237";NA;NA;NA;"1";"20307,078128141387";"115,38112572807607";NA;NA;"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"122610";"Diretor de operações de serviços de armazenamento";"3,0";"21688,154665025857";"2";"41683,159551422585";"236,83613381490102";"2";"21375,598426829929";"121,45226378880641";"9,21932049785707e-01";"-0,33333333333333337";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"122615";"Diretor de operações de serviços de telecomunicações";"17,0";"22701,871062368773";"12";"26653,989357032835";"162,05522291994276";"26";"15963,428047881289";"95,79515231748616";"1,74087778219091e-01";"-0,29411764705882348";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"122620";"Diretor de operações de serviços de transporte";"6,0";"20437,996238451891";"2";"5474,483245797870";"31,10501844203336";"5";"13094,051193732052";"78,33169470616618";"-7,32141880156616e-01";"-0,66666666666666674";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"122705";"Diretor comercial em operações de intermediação financeira";"8,5";"17537,489976807337";"7";"30281,835193438754";"215,72754316933097";"6";"9335,090189406914";"56,03411461108492";"7,26691518198176e-01";"-0,17647058823529416";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"122710";"Diretor de produtos bancários";"2,0";"58123,972661188935";"3";"66111,305790160666";"492,29706559829913";"1";"24416,887416280933";"138,73231486523258";"1,37418912769965e-01";"0,50000000000000000";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"122720";"Diretor de câmbio e comércio exterior";"1,0";"6230,943670978764";NA;NA;NA;"1";"6230,943670978764";"35,40308903965207";NA;NA;"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"122735";"Diretor de crédito imobiliário";"1,0";"48834,447356169017";NA;NA;NA;"1";"49066,950591271387";"306,66844119544618";NA;NA;"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"122750";"Diretor de recuperação de créditos em operações de intermediação financeira";"3,0";"17122,531154270342";NA;NA;NA;"3";"18199,784517400945";"103,40786657614174";NA;NA;"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"123105";"Diretor administrativo";"412,5";"17709,365108432648";"356";"14538,551587018466";"90,41984452246771";"420";"20633,677738589460";"121,73430510647198";"-1,79047272558876e-01";"-0,13696969696969696";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"123110";"Diretor administrativo e financeiro";"133,5";"21323,764649209879";"149";"20459,403043659957";"127,27845042536568";"133";"22042,145297286119";"133,41211718510203";"-4,05351315665524e-02";"0,11610486891385774";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"123115";"Diretor financeiro";"57,0";"20091,123569031304";"55";"16408,961021826639";"99,11023159456398";"51";"21949,539607890631";"133,07540110928781";"-1,83273102400325e-01";"-0,03508771929824561";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"123205";"Diretor de recursos humanos";"13,0";"18830,780383656140";"17";"17321,805903899589";"105,89774907253768";"13";"9368,785659365538";"64,80679688558685";"-8,01334012193271e-02";"0,30769230769230771";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"123210";"Diretor de relações de trabalho";"2,0";"20435,648419369678";"1";"19098,264521021967";"119,36415325638730";"5";"18940,888342113329";"111,28041936086392";"-6,54436732763560e-02";"-0,50000000000000000";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"123305";"Diretor comercial";"153,0";"25789,530701894571";"118";"18238,359278580338";"111,20561967879226";"138";"28573,644507055764";"167,73009265661909";"-2,92799877229232e-01";"-0,22875816993464049";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"123310";"Diretor de marketing";"23,5";"19025,247618874688";"23";"23252,975793714031";"145,51456010745756";"24";"13892,276906078519";"82,18518818654842";"2,22216722721920e-01";"-0,02127659574468088";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"123405";"Diretor de suprimentos";"17,5";"3604,907229561926";"16";"2995,611889408602";"17,21787131467637";"20";"13808,977554816351";"83,31438298762650";"-1,69018313469156e-01";"-0,08571428571428574";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
