"tipo_emprego";"ano";"tipo";"filtro";"salario_hora";"salario_mes";"geral"
"Outros";"2016";"Técnicos de nível superior";"Técnico";"94,23557057770138";"15579,996151225550";"Subgrupo"
"Outros";"2017";"Técnicos de nível médio";"Técnico";"32,07130527359214";"5148,334435385198";"Subgrupo"
"Outros";"2017";"Técnicos de nível superior";"Técnico";"70,49772484643515";"11547,050904473404";"Subgrupo"
"Outros";"2018";"Técnicos de nível médio";"Técnico";"25,00032884249761";"4039,903486075205";"Subgrupo"
"Outros";"2018";"Técnicos de nível superior";"Técnico";"91,25047090524365";"14742,414395145013";"Subgrupo"
"Outros";"2019";"Técnicos de nível médio";"Técnico";"21,43202246708880";"3497,331493431078";"Subgrupo"
"Outros";"2019";"Técnicos de nível superior";"Técnico";"34,61630019149151";"5792,729538475124";"Subgrupo"
"Outros";"2020";"Técnicos de nível médio";"Técnico";"16,05801118487449";"2126,237931530504";"Subgrupo"
"Outros";"2020";"Técnicos de nível superior";"Técnico";"61,60048230104480";"10361,064205179542";"Subgrupo"
"Outros";"2021";"Técnicos de nível médio";"Técnico";"18,90058648676073";"2866,881335924016";"Subgrupo"
"Outros";"2021";"Técnicos de nível superior";"Técnico";"114,92984715742303";"18786,512178078792";"Subgrupo"
"Celetista";"2012";"Média dos trabalhadores técnicos";"Técnico";"31,86686301690134";"5332,856573659225";"Geral"
"Celetista";"2013";"Média dos trabalhadores técnicos";"Técnico";"35,83865174447719";"5897,040680985568";"Geral"
"Celetista";"2014";"Média dos trabalhadores técnicos";"Técnico";"32,33836208152120";"5351,329514007123";"Geral"
"Celetista";"2015";"Média dos trabalhadores técnicos";"Técnico";"33,71436810042794";"5573,837553200080";"Geral"
"Celetista";"2016";"Média dos trabalhadores técnicos";"Técnico";"33,84630271453585";"5573,991972464411";"Geral"
"Celetista";"2017";"Média dos trabalhadores técnicos";"Técnico";"30,54652743296958";"5037,212861114191";"Geral"
"Celetista";"2018";"Média dos trabalhadores técnicos";"Técnico";"32,14470644927803";"5142,634446121271";"Geral"
"Celetista";"2019";"Média dos trabalhadores técnicos";"Técnico";"27,85266622702071";"4574,244388695502";"Geral"
"Celetista";"2020";"Média dos trabalhadores técnicos";"Técnico";"29,16527915757390";"4762,759867565718";"Geral"
"Celetista";"2021";"Média dos trabalhadores técnicos";"Técnico";"29,64797219417878";"4784,755287255311";"Geral"
"Estatutário";"2012";"Média dos trabalhadores técnicos";"Técnico";"84,35031250061240";"13316,425705886486";"Geral"
"Estatutário";"2013";"Média dos trabalhadores técnicos";"Técnico";"86,85563423945858";"13704,910693442947";"Geral"
"Estatutário";"2014";"Média dos trabalhadores técnicos";"Técnico";"86,23818920755527";"13620,626078779453";"Geral"
"Estatutário";"2015";"Média dos trabalhadores técnicos";"Técnico";"85,75753423722952";"13531,276904950331";"Geral"
"Estatutário";"2016";"Média dos trabalhadores técnicos";"Técnico";"81,51027754681658";"12855,858109269950";"Geral"
"Estatutário";"2017";"Média dos trabalhadores técnicos";"Técnico";"80,54075723808491";"12691,592054037215";"Geral"
"Estatutário";"2018";"Média dos trabalhadores técnicos";"Técnico";"80,62131580719981";"12691,495001216264";"Geral"
"Estatutário";"2019";"Média dos trabalhadores técnicos";"Técnico";"81,34435041694603";"12806,284128028452";"Geral"
"Estatutário";"2020";"Média dos trabalhadores técnicos";"Técnico";"80,33581843800440";"12639,573835521389";"Geral"
"Estatutário";"2021";"Média dos trabalhadores técnicos";"Técnico";"81,36104083653515";"12828,403559957662";"Geral"
"Outros";"2012";"Média dos trabalhadores técnicos";"Técnico";"43,54248773526264";"6643,260275761115";"Geral"
"Outros";"2013";"Média dos trabalhadores técnicos";"Técnico";"45,70956251664845";"7078,723859856560";"Geral"
"Outros";"2014";"Média dos trabalhadores técnicos";"Técnico";"36,21170176455388";"5367,074727044417";"Geral"
"Outros";"2015";"Média dos trabalhadores técnicos";"Técnico";"37,07002182020515";"5657,423416088886";"Geral"
"Outros";"2016";"Média dos trabalhadores técnicos";"Técnico";"27,97413888156300";"4555,231831646102";"Geral"
"Outros";"2017";"Média dos trabalhadores técnicos";"Técnico";"34,08902858838552";"5484,323048114451";"Geral"
"Outros";"2018";"Média dos trabalhadores técnicos";"Técnico";"26,99166259236050";"4361,597455596378";"Geral"
"Outros";"2019";"Média dos trabalhadores técnicos";"Técnico";"22,34069180310095";"3655,531878850239";"Geral"
"Outros";"2020";"Média dos trabalhadores técnicos";"Técnico";"16,61927403313715";"2227,723466593081";"Geral"
"Outros";"2021";"Média dos trabalhadores técnicos";"Técnico";"19,37843543938030";"2946,098637722298";"Geral"
"Celetista";"2012";"Até fundamental completo";"Não Técnico";"12,44711586253479";"2138,048618590053";"Subgrupo"
"Celetista";"2012";"Médio completo";"Não Técnico";"15,44477137763110";"2564,202281019654";"Subgrupo"
"Celetista";"2012";"Superior completo";"Não Técnico";"76,72715889819780";"11044,283351472772";"Subgrupo"
"Celetista";"2013";"Até fundamental completo";"Não Técnico";"13,40049981029862";"2294,622313740367";"Subgrupo"
"Celetista";"2013";"Médio completo";"Não Técnico";"16,11487418126623";"2662,634534967026";"Subgrupo"
"Celetista";"2013";"Superior completo";"Não Técnico";"76,84242067935995";"11164,451041358618";"Subgrupo"
"Celetista";"2014";"Até fundamental completo";"Não Técnico";"13,52873269561487";"2312,545009147026";"Subgrupo"
"Celetista";"2014";"Médio completo";"Não Técnico";"16,07693644843273";"2667,677934507072";"Subgrupo"
"Celetista";"2014";"Superior completo";"Não Técnico";"77,82399056413742";"11169,809192658890";"Subgrupo"
"Celetista";"2015";"Até fundamental completo";"Não Técnico";"13,77443943196848";"2350,203270435646";"Subgrupo"
"Celetista";"2015";"Médio completo";"Não Técnico";"16,04340100699170";"2663,786643340838";"Subgrupo"
"Celetista";"2015";"Superior completo";"Não Técnico";"81,46842346832450";"11813,816662386425";"Subgrupo"
"Celetista";"2016";"Até fundamental completo";"Não Técnico";"13,37154498882872";"2278,527755910599";"Subgrupo"
"Celetista";"2016";"Médio completo";"Não Técnico";"15,46676479447025";"2564,863004270724";"Subgrupo"
"Celetista";"2016";"Superior completo";"Não Técnico";"79,71406021215260";"11490,482414900822";"Subgrupo"
"Celetista";"2017";"Até fundamental completo";"Não Técnico";"13,17238728574917";"2244,478077167372";"Subgrupo"
