"cboocupacao2002";"nome_cbo_ocupacao";"mediana_viculos";"mediana_rendimentos";"vinculos_ultimo_ano";"media_rendimento_ultimo_ano";"media_salario_hora_ultimo_ano";"vinculos_primeiro_ano";"media_rendimento_primeiro_ano";"media_salario_hora_primeiro_ano";"variacao_rendimentos";"variacao_vinculos";"codigo_cbo";"cbo";"tipo_emprego"
"""114205""";"Dirigentes de entidades de trabalhadores";"48,5";"9676,620699260387";"48";"7297.5213885358";"42.4473451810065";"45";"11475,186521821299";"69,46450069459051";"-0.245860552424715";"-0.0103092783505154";"""11""";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"Geral"
"""114210""";"Dirigentes de entidades patronais";"1,0";"2741,852660407170";"null";"null";"null";"1";"2741,852660407170";"15,57870829776800";"null";"null";"""11""";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"Geral"
"""114305""";"Dirigente e administrador de organização religiosa";"11,5";"7444,335560962092";"17";"11824.7686746824";"75.3372613584937";"5";"2249,683253232432";"12,78229121154790";"0.588424994796199";"0.478260869565217";"""11""";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"Geral"
"""114405""";"Dirigente e administrador de organização da sociedade civil sem fins lucrativos";"13,0";"31494,482546938729";"13";"29875.0734310363";"184.336383149343";"21";"31467,850474228253";"189,81192079537144";"-0.0514188195817745";"0";"""11""";"MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO";"Geral"
"""121005""";"Diretor de planejamento estratégico";"32,0";"24758,434674933753";"36";"22760.275892212";"138.326002889887";"30";"24117,306868756921";"147,43260492898713";"-0.0807061839311186";"0.125";"""12""";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"Geral"
"""121010""";"Diretor geral de empresa e organizações (exceto de interesse público)";"297,0";"33686,994398285060";"203";"27761.2565765784";"169.72261485322";"356";"38643,596014085044";"231,96749174927848";"-0.175905803635847";"-0.316498316498317";"""12""";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"Geral"
"""122105""";"Diretor de produção e operações em empresa agropecuária";"2,0";"4030,788381790939";"2";"4179.31540561945";"24.4324942763847";"3";"2775,754526114496";"15,77133253474143";"0.0368481323652416";"0";"""12""";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"Geral"
"""122115""";"Diretor de produção e operações em empresa florestal";"1,0";"6284,607136090824";"2";"30114.2421466657";"171.103648560601";"1";"6385,860528983930";"36,28329846013600";"3.79174616560002";"1";"""12""";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"Geral"
"""122205""";"Diretor de produção e operações da indústria de transformação, extração mineral e utilidades";"7,0";"18582,754456098170";"2";"12014.7294082399";"68.2655080013628";"9";"14640,939123849150";"84,17136930142347";"-0.35344733545155";"-0.714285714285714";"""12""";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"Geral"
"""122305""";"Diretor de operações de obras pública e civil";"11,5";"39702,579877368044";"18";"6394.3693671773";"36.4940536832299";"26";"68395,241087689967";"389,02761686000292";"-0.838943227696336";"0.565217391304348";"""12""";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"Geral"
