cbo_superior
322130
214010
131215
324120
142710
324125
202120
214365
214360
214930
214435
202115
214615
141715
251205
142310
123305
142305
142105
142120
252105
252405
251215
252545
122610
123405
141615
342125
142335
252305
252310
252315
212405
212305
212320
212410
142535
214370
262135
212310
214280
214270
342110
010210
010310
010315
252605
010205
141305
242505
212315
142415
142705
222215
214535
213215
325005
239225
261425
262415
262905
262425
262420
262330
262410
261805
262105
262130
253115
214745
222105
222115
141115
141120
214750
222120
204105
214935
131115
354820
271110
271105
141525
354810
131105
131110
131120
141505
