2022.12;1.212,00;;606;242400
2021.12;1.100,00;;550;220000
2020.01;1.039,00;;519,5;207800
2019.12;998;;499;199600
2018.12;954;;477;190800
2017.12;937;;468,5;187400
2016.12;880;;440;176000
2015.12;788;;394;157600
2014.12;724;;362;144800
2013.12;678;;339;135600
2012.12;622;;311;124400
2011.02;540;;270;108000
;;;;
Fonte: http://www.ipeadata.gov.br/exibeserie.aspx?stub=1&serid1739471028=1739471028;;;;
