"cbo_familia";"mediana_rendimento_base";"mediana_salario_hora_base";"vinculos_base";"referencia";"mediana_rendimento_recente";"mediana_salario_hora_recente";"vinculos_recente";"nome_cbo_familia";"variacao_rendimento";"variacao_vinculos"
"7311";"2015,29524519926";"11,45054116590487";"389";"2021";"1836,15374702929";"10,60791682480205";"408";"Montadores de equipamentos eletroeletrônicos";"-0,0888909446874881493";"0,048843187660668308"
"7312";"1919,90406977393";"10,91691974453987";"396";"2021";"2001,39955338759";"11,50223989212129";"329";"Montadores de aparelhos de telecomunicações";"0,0424476852238049318";"-0,169191919191919227"
"7313";"2123,74178222477";"12,17669620278771";"707";"2021";"2068,46263754497";"11,75262862241458";"580";"Instaladores-reparadores de  linhas e equipamentos de telecomunicações";"-0,0260291270541809228";"-0,179632248939179617"
"7321";"3198,11100617572";"18,22957064488410";"1659";"2021";"2699,07119419848";"15,42515057732185";"1605";"Instaladores e reparadores de linhas e cabos elétricos, telefônicos e de comunicação de dados";"-0,1560420545170493334";"-0,032549728752260365"
"7411";"2005,65168476392";"11,40695735773457";"91";"2021";"1972,11856288888";"11,31280976825479";"113";"Mecânicos de instrumentos de precisão";"-0,0167193147891911975";"0,241758241758241788"
"7522";"1857,14549596612";"10,83548857496297";"119";"2021";"1665,40256497636";"9,46251457372930";"144";"Trabalhadores da transformação de vidros planos";"-0,1032460469070665132";"0,210084033613445298"
"7630";"1517,18387989739";"8,62036295396244";"528";"2021";"1450,46044020757";"8,24191293492395";"540";"Profissionais polivalentes da confecção de roupas";"-0,0439784791902274597";"0,022727272727272707"
"7631";"1312,16248132813";"7,45546864390986";"516";"2021";"1274,43635513809";"7,24429774405383";"581";"Trabalhadores da preparação da confecção de roupas";"-0,0287511087436830293";"0,125968992248062017"
"7632";"1589,98057618000";"9,03398054647729";"660";"2021";"1535,00652645088";"8,72162799119816";"713";"Operadores de máquinas para costura de peças do vestuário";"-0,0345752964235594984";"0,080303030303030321"
"7652";"1586,01174625355";"9,23106375770427";"107";"2021";"1542,24488029123";"8,76275500165471";"128";"Trabalhadores da confecção de artefatos de tecidos, couros e sintéticos";"-0,0275955496960871294";"0,196261682242990565"
