"ano";"tipo";"salario_hora";"salario_mes";"filtro";"geral"
"2019";"Trabalhadores técnicos";"18,40681267108699";"3069,45103431708";"Técnico";"Geral"
"2020";"Trabalhadores técnicos";"18,79477549153439";"3151,10590203214";"Técnico";"Geral"
"2021";"Trabalhadores técnicos";"17,62733687883397";"3102,41129067478";"Técnico";"Geral"
"2012";"Técnicos de nível médio";"16,53157076897953";"2803,92465194044";"Técnico";"Subgrupo"
"2013";"Técnicos de nível médio";"18,24163975192278";"3149,85258484047";"Técnico";"Subgrupo"
"2014";"Técnicos de nível médio";"18,00060657596870";"3107,37469488331";"Técnico";"Subgrupo"
"2015";"Técnicos de nível médio";"18,04310032446979";"3055,20419264482";"Técnico";"Subgrupo"
"2016";"Técnicos de nível médio";"18,91955006848143";"3239,13556836294";"Técnico";"Subgrupo"
"2017";"Técnicos de nível médio";"18,49120309340792";"3173,59818583012";"Técnico";"Subgrupo"
"2018";"Técnicos de nível médio";"19,38254730365889";"3343,69563443899";"Técnico";"Subgrupo"
"2019";"Técnicos de nível médio";"17,32355272602451";"2900,00308472714";"Técnico";"Subgrupo"
"2020";"Técnicos de nível médio";"17,94123177479523";"2963,86880715380";"Técnico";"Subgrupo"
"2021";"Técnicos de nível médio";"17,62733687883397";"2999,25682324482";"Técnico";"Subgrupo"
"2012";"Técnicos de nível superior";"53,41618074302705";"8892,90665628208";"Técnico";"Subgrupo"
"2013";"Técnicos de nível superior";"54,77536075930279";"9032,34620979828";"Técnico";"Subgrupo"
"2014";"Técnicos de nível superior";"48,92273782788848";"8282,96539141543";"Técnico";"Subgrupo"
"2015";"Técnicos de nível superior";"45,15371673715082";"7563,36875607946";"Técnico";"Subgrupo"
"2016";"Técnicos de nível superior";"44,51745455307478";"7438,14402873653";"Técnico";"Subgrupo"
"2017";"Técnicos de nível superior";"42,27003352417632";"7113,21855241454";"Técnico";"Subgrupo"
"2018";"Técnicos de nível superior";"44,35014296020078";"7312,55072696216";"Técnico";"Subgrupo"
"2019";"Técnicos de nível superior";"40,20897807757701";"6766,57307448135";"Técnico";"Subgrupo"
"2020";"Técnicos de nível superior";"40,85266608524754";"6777,50819967196";"Técnico";"Subgrupo"
"2021";"Técnicos de nível superior";"38,47607743744034";"6340,16394775428";"Técnico";"Subgrupo"
